추출된_죄목,빈도수
사기,1136
특정경제범죄가중처벌등에관한법률위반,1036
특정범죄가중처벌등에관한법률위반,778
도로교통법위반,592
폭력행위등처벌에관한법률위반,538
업무방해,362
공직선거법위반,356
사문서위조,304
위조사문서행사,302
마약류관리에관한법률위반,282
성폭력범죄의처벌등에관한특례법위반,281
업무상횡령,242
상해,230
횡령,215
업무상배임,213
근로기준법위반,205
조세범처벌법위반,198
의료법위반,196
절도,188
무고,182
정보통신망이용촉진및정보보호등에관한법률위반,180
뇌물공여,167
부착명령,165
성폭력범죄의처벌및피해자보호등에관한법률위반,161
명예훼손,156
폭행,132
뇌물수수,132
배임수재,127
교통사고처리특례법위반,126
공무집행방해,126
변호사법위반,123
국가보안법위반,123
아동·청소년의성보호에관한법률위반,123
살인,117
배임,113
저작권법위반,109
재물손괴,108
공직선거,106
선거부정방지법위반,106
정치자금법위반,106
관세법위반,105
위계공무집행방해,102
모욕,101
전자금융거래법위반,96
위증,95
공정증서원본불실기재,92
불실기재공정증서원본행사,92
식품위생법위반,91
업무상과실치사,89
공갈,86
배임증재,85
부정수표단속법위반,82
부정경쟁방지및영업비밀보호에관한법률위반,80
약사법위반,79
외국환거래법위반,78
증권거래법위반,76
협박,76
아동복지법위반,75
업무상과실치상,73
도시,73
강제집행면탈,72
병역법위반,71
자동차관리법위반,70
집회및시위에관한법률위반,68
주거환경정비법위반,68
보건범죄단속에관한특별조치법위반,66
직권남용권리행사방해,64
노동조합,62
주거침입,62
자본시장과금융투자업에관한법률위반,62
공문서위조,61
배상명령신청,61
상법위반,60
노동관계조정법위반,60
상표법위반,59
건설산업기본법위반,59
여신전문금융업법위반,59
강제추행,58
위조공문서행사,55
특수절도,54
허위공문서작성,53
폐기물관리법위반,52
범인도피교사,52
청소년의성보호에관한법률위반,52
일반교통방해,52
아동,50
허위작성공문서행사,49
산업안전보건법위반,49
특정경제범죄가중처벌 등에 관한 법률 위반,49
강도상해,48
공전자기록등불실기재,47
불실기재공전자기록등행사,47
범인도피,46
간통,46
개인정보보호법위반,46
강요,44
도로교통법 위반,44
위조유가증권행사,41
공무상비밀누설,41
성매매알선등행위의처벌에관한법률위반,41
청소년보호법위반,40
음반·비디오물및게임물에관한법률위반,39
직무유기,39
폭력행위 등 처벌에 관한 법률 위반,39
건축법위반,38
사문서변조,38
변조사문서행사,38
컴퓨터등사용사기,38
특수강도,37
출판물에의한명예훼손,37
유가증권위조,36
특수공무집행방해,36
게임산업진흥에관한법률위반,36
근로자퇴직급여보장법위반,36
입찰방해,35
건조물침입,35
주택법위반,34
출입국관리법위반,33
도박개장,33
자동차손해배상보장법위반,32
제3자뇌물취득,32
농업협동조합법위반,32
자격모용사문서작성,32
국가보안법 위반,32
국민체육진흥법위반,32
도검,31
석유,31
공문서부정행사,30
특수공무집행방해치상,30
총포,30
집회,30
공무상표시무효,29
권리행사방해,29
석유대체연료사업법위반,29
성폭력범죄의 처벌 등에 관한 특례법 위반,29
여객자동차운수사업법위반,27
화약류등단속법위반,27
점유이탈물횡령,27
특수상해,27
부동산중개업법위반,26
자격모용작성사문서행사,26
주민등록법위반,26
위증교사,26
업무상 배임,26
치료감호,25
변조공문서행사,25
범죄수익은닉의규제및처벌등에관한법률위반,25
